"World nuclear energy consumption by region"
"http://www.eia.gov/forecasts/aeo/data/browser/#/?id=8-IEO2016&region=0-0&cases=Reference&start=2010&end=2040&f=A&linechart=Reference-d021916a.2-8-IEO2016~Reference-d021916a.3-8-IEO2016~Reference-d021916a.4-8-IEO2016~Reference-d021916a.5-8-IEO2016~Reference-d021916a.6-8-IEO2016~Reference-d021916a.7-8-IEO2016~Reference-d021916a.8-8-IEO2016~Reference-d021916a.9-8-IEO2016~Reference-d021916a.10-8-IEO2016~Reference-d021916a.11-8-IEO2016~Reference-d021916a.14-8-IEO2016~Reference-d021916a.15-8-IEO2016~Reference-d021916a.16-8-IEO2016~Reference-d021916a.17-8-IEO2016~Reference-d021916a.18-8-IEO2016~Reference-d021916a.19-8-IEO2016~Reference-d021916a.20-8-IEO2016~Reference-d021916a.21-8-IEO2016~Reference-d021916a.22-8-IEO2016~Reference-d021916a.23-8-IEO2016~Reference-d021916a.24-8-IEO2016~Reference-d021916a.25-8-IEO2016~Reference-d021916a.26-8-IEO2016~Reference-d021916a.28-8-IEO2016&ctype=linechart&sid=~~&sourcekey=0"
"Sun Oct 16 2016 19:43:24 GMT-0500 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","Growth (2012-2040)"
China,"Nuclear use: Non-OECD: Non-OECD Asia: China": Reference case,""8-IEO2016.18.Reference-d021916a,"bill kWh",70.96,82.57,92.65,110.71,123.81,180.24,238.19,263.7,279.56,295.43,329.18,369.97,406.72,406.72,406.72,451.84,518.88,580.66,644.43,708.2,754.04,799.88,845.72,891.55,937.39,983.23,1029.06,1074.9,1120.74,1166.57,1212.41,"9.6%"
India,"Nuclear use: Non-OECD: Non-OECD Asia: India": Reference case,""8-IEO2016.19.Reference-d021916a,"bill kWh",20.48,28.95,29.66,30.29,30.29,30.29,51.13,56.75,56.75,56.75,66.93,70.79,84.57,94.49,92.65,116.62,140.6,160.04,180.03,197.87,205.54,209.83,214.12,218.42,222.71,221.56,228.92,236.28,242.38,249.74,248.48,"7.9%"
Other,"Nuclear use: Non-OECD: Non-OECD Asia: Other": Reference case,""8-IEO2016.20.Reference-d021916a,"bill kWh",42.45,44.21,44,47.09,47.09,51.18,53.5,55.82,58.15,60.47,62.8,68.9,75,81.1,87.2,93.31,93.03,92.75,92.47,92.19,91.91,92.02,92.13,92.24,92.35,92.46,93.55,94.64,95.73,96.83,97.92,"2.9%"
Middle East,"Nuclear use: Non-OECD: Middle East": Reference case,""8-IEO2016.21.Reference-d021916a,"bill kWh","",0.1,1.33,3.75,5,6.25,13.02,19.79,26.57,33.34,40.11,44.74,49.37,54.01,58.64,63.27,69.69,76.12,82.54,88.97,95.39,101.81,108.23,114.66,121.08,127.5,132.42,137.34,142.26,147.18,152.1,"18.4%"
Africa,"Nuclear use: Non-OECD: Africa": Reference case,""8-IEO2016.22.Reference-d021916a,"bill kWh",12.9,12.94,12.4,13.69,13.69,13.69,13.69,13.69,13.69,13.69,13.69,15.11,16.53,17.94,19.36,20.78,22.16,23.55,24.93,26.32,27.7,29.17,30.63,32.1,33.56,35.03,36.43,37.83,39.24,40.64,42.04,"4.5%"
Central and South America,"Nuclear use: Non-OECD: Central and South America": Reference case,""8-IEO2016.23.Reference-d021916a,"bill kWh",20.46,20.68,21.07,24.08,25.11,26.14,27.99,29.85,31.7,33.56,35.41,35.41,35.41,35.41,35.41,35.41,43.11,50.81,58.52,66.22,73.92,75.41,76.9,78.39,79.88,81.37,82.86,84.35,85.83,87.32,88.81,"5.3%"
Brazil,"Nuclear use: Non-OECD: Central and South America: Brazil": Reference case,""8-IEO2016.24.Reference-d021916a,"bill kWh",13.77,14.79,15.17,14.03,14.03,14.03,15.88,17.74,19.59,21.45,23.3,23.3,23.3,23.3,23.3,23.3,29.51,35.72,41.94,48.15,54.36,54.36,54.36,54.36,54.36,54.36,54.36,54.36,54.36,54.36,54.36,"4.7%"
Other,"Nuclear use: Non-OECD: Central and South America: Other": Reference case,""8-IEO2016.25.Reference-d021916a,"bill kWh",6.69,5.89,5.9,10.05,11.08,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,13.6,15.09,16.58,18.07,19.56,21.05,22.54,24.03,25.52,27.01,28.5,29.99,31.47,32.96,34.45,"6.5%"
Total Non-OECD,"Nuclear use: Non-OECD: Central and South America: Total Non-OECD": Reference case,""8-IEO2016.26.Reference-d021916a,"bill kWh",437.83,464.8,479.84,516.9,550.07,620.09,725.56,767.96,820.08,857.98,923.62,989.2,1070.09,1094.74,1100.98,1196.16,1294.04,1388.6,1484.16,1590.71,1659.06,1728.73,1798.5,1853.8,1909.27,1952.65,2013.32,2076.87,2139.16,2199.83,2254.76,"5.7%"
Total World,"Nuclear use: Total World": Reference case,""8-IEO2016.28.Reference-d021916a,"bill kWh",2629.7,2517.73,2344.8,2455.31,2504.43,2603.33,2749.39,2849.8,2920.19,2967.43,3051.12,3143.66,3245.95,3277.69,3308.88,3403.68,3508.93,3627.27,3746.6,3865.1,3946.2,4021.07,4094.84,4153.85,4213.73,4250.98,4298.34,4350,4396.56,4446.5,4500.96,"2.4%" 
