,Emissions transfers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,NaN,0,NaN,NaN,NaN,NaN,NaN,0,0,NaN,10,-7,8,NaN,0,-1,NaN,12,-12,NaN,0,NaN,NaN,NaN,0,-7,NaN,NaN,5,0,NaN,0,-7,NaN,NaN,NaN,NaN,0,52,-1,NaN,NaN,NaN,-1,0,1,NaN,-1,4,NaN,NaN,-3,NaN,NaN,NaN,0,-1,0,NaN,NaN,1,0,NaN,NaN,NaN,NaN,-6,-30,NaN,NaN,NaN,NaN,2,-45,0,NaN,-4,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,-17,-7,NaN,3,1,NaN,-2,2,-4,-40,NaN,-47,NaN,0,-1,NaN,1,0,0,-1,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,-3,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-11,NaN,-1,0,NaN,2,NaN,-2,NaN,0,-1,NaN,0,NaN,0,-1,-5,0,14,-2,0,0,-19,NaN,NaN,1,124,0,NaN,NaN,NaN,NaN,5,0,NaN,NaN,NaN,-7,-3,0,NaN,NaN,29,-11,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-12,NaN,-9,NaN,-7,NaN,0,NaN,NaN,-1,-18,NaN,NaN,0,57,0,-18,0,19,0,NaN,NaN,7,-1,NaN,NaN,NaN,0,-1,-46,46,-271,271,-189,26,-30,1,-5,-10,12,8,-2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,NaN,0,NaN,NaN,NaN,NaN,NaN,-1,0,NaN,9,-6,8,NaN,0,-1,NaN,9,-11,NaN,0,NaN,NaN,NaN,0,-6,NaN,NaN,5,0,NaN,0,-9,NaN,NaN,NaN,NaN,0,63,-1,NaN,NaN,NaN,-1,0,0,NaN,-1,6,NaN,NaN,-1,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-5,-26,NaN,NaN,NaN,NaN,1,-44,0,NaN,-3,NaN,NaN,NaN,0,0,NaN,NaN,NaN,0,-19,-6,NaN,7,4,NaN,-2,3,-4,-39,NaN,-50,NaN,16,-1,NaN,-2,0,0,-1,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,-2,NaN,NaN,0,NaN,NaN,NaN,0,-2,1,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-11,NaN,0,0,NaN,2,NaN,-2,NaN,0,-1,NaN,0,NaN,0,-1,-4,0,9,-3,1,0,-19,NaN,NaN,2,80,0,NaN,NaN,NaN,NaN,6,0,NaN,NaN,NaN,-8,-1,-1,NaN,NaN,27,-10,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-12,NaN,-8,NaN,-5,NaN,0,NaN,NaN,0,-16,NaN,NaN,0,53,0,-18,0,29,0,NaN,NaN,5,-1,NaN,NaN,NaN,0,-1,-74,205,-251,382,-175,27,7,0,-44,-12,18,8,-4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,NaN,0,NaN,NaN,NaN,NaN,NaN,-2,0,NaN,11,-9,13,NaN,0,-2,NaN,13,-18,NaN,0,NaN,NaN,NaN,0,-5,NaN,NaN,4,0,NaN,0,-8,NaN,NaN,NaN,NaN,0,45,-1,NaN,NaN,NaN,-1,-1,-1,NaN,-1,-5,NaN,NaN,-4,NaN,NaN,NaN,1,-1,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-14,-44,NaN,NaN,NaN,NaN,2,-81,0,NaN,-6,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-19,-14,NaN,6,4,NaN,-3,3,-5,-57,NaN,-73,NaN,33,-1,NaN,-1,-1,0,-1,NaN,NaN,NaN,NaN,-9,0,NaN,NaN,0,0,-2,NaN,NaN,0,NaN,NaN,NaN,0,-3,1,NaN,NaN,-3,-1,NaN,0,NaN,0,NaN,-20,NaN,0,0,NaN,3,NaN,-5,NaN,0,-1,NaN,0,NaN,0,-1,-6,0,1,-4,1,0,-26,NaN,NaN,-1,346,0,NaN,NaN,NaN,NaN,6,0,NaN,NaN,NaN,-10,-4,-2,NaN,NaN,24,-15,-1,NaN,NaN,NaN,NaN,NaN,NaN,-9,-14,NaN,-15,NaN,-10,NaN,0,NaN,NaN,-1,-25,NaN,NaN,0,46,0,-26,0,12,0,NaN,NaN,3,-1,NaN,NaN,NaN,0,0,-25,25,-468,468,-340,20,-46,0,46,-22,0,9,-7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,NaN,0,NaN,NaN,NaN,NaN,NaN,-2,0,NaN,12,-7,7,NaN,0,-1,NaN,11,-15,NaN,0,NaN,NaN,NaN,0,-5,NaN,NaN,5,0,NaN,0,-4,NaN,NaN,NaN,NaN,0,47,-1,NaN,NaN,NaN,0,0,-1,NaN,-1,0,NaN,NaN,-2,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-8,-35,NaN,NaN,NaN,NaN,0,-66,0,NaN,-5,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-17,-9,NaN,11,5,NaN,-2,7,-4,-41,NaN,-66,NaN,15,-1,NaN,0,-1,0,-1,NaN,NaN,NaN,NaN,-4,0,NaN,NaN,0,0,0,NaN,NaN,0,NaN,NaN,NaN,0,-3,1,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-14,NaN,0,0,NaN,2,NaN,-3,NaN,0,-1,NaN,0,NaN,0,-1,-5,0,5,-3,1,0,-20,NaN,NaN,1,208,0,NaN,NaN,NaN,NaN,6,0,NaN,NaN,NaN,-9,-3,-1,NaN,NaN,27,-12,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-12,NaN,-10,NaN,-6,NaN,0,NaN,NaN,-1,-18,NaN,NaN,0,41,0,-21,0,21,0,NaN,NaN,4,-1,NaN,NaN,NaN,0,0,-50,50,-344,344,-247,24,-34,0,-2,-7,14,10,-5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,NaN,0,NaN,NaN,NaN,NaN,NaN,-2,0,NaN,10,-7,6,NaN,0,-2,NaN,10,-13,NaN,0,NaN,NaN,NaN,0,-5,NaN,NaN,4,0,NaN,0,-4,NaN,NaN,NaN,NaN,0,97,-2,NaN,NaN,NaN,0,0,-1,NaN,-1,1,NaN,NaN,-2,NaN,NaN,NaN,0,-1,0,NaN,NaN,1,0,NaN,NaN,NaN,NaN,-5,-34,NaN,NaN,NaN,NaN,0,-61,0,NaN,-4,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-25,-7,NaN,13,5,NaN,-2,9,-4,-37,NaN,-69,NaN,14,-1,NaN,0,-1,0,-1,NaN,NaN,NaN,NaN,-3,0,NaN,NaN,0,0,1,NaN,NaN,0,NaN,NaN,NaN,0,-2,1,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-13,NaN,-1,0,NaN,1,NaN,-3,NaN,0,-1,NaN,0,NaN,0,-1,-5,0,7,-3,1,0,-19,NaN,NaN,2,131,0,NaN,NaN,NaN,NaN,6,0,NaN,NaN,NaN,-8,-1,-1,NaN,NaN,27,-9,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-12,NaN,-9,NaN,-5,NaN,0,NaN,NaN,0,-12,NaN,NaN,0,43,0,-20,0,18,0,NaN,NaN,5,-1,NaN,NaN,NaN,0,0,-101,101,-315,315,-216,23,6,0,-46,0,12,9,-5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,NaN,0,NaN,NaN,NaN,NaN,NaN,-1,0,NaN,11,-7,3,NaN,0,-2,NaN,7,-14,NaN,0,NaN,NaN,NaN,0,-7,NaN,NaN,5,0,NaN,0,-3,NaN,NaN,NaN,NaN,0,101,-2,NaN,NaN,NaN,-1,0,-1,NaN,-1,1,NaN,NaN,-3,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-5,-34,NaN,NaN,NaN,NaN,0,-65,0,NaN,-4,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-27,-6,NaN,16,4,NaN,-2,6,-4,-37,NaN,-74,NaN,12,-1,NaN,1,-1,0,-1,NaN,NaN,NaN,NaN,-4,0,NaN,NaN,0,0,4,NaN,NaN,0,NaN,NaN,NaN,0,5,1,NaN,NaN,-2,-1,NaN,0,NaN,0,NaN,-14,NaN,-1,0,NaN,1,NaN,-3,NaN,0,-1,NaN,0,NaN,0,-1,-5,0,9,-3,1,0,-18,NaN,NaN,4,125,0,NaN,NaN,NaN,NaN,3,0,NaN,NaN,NaN,-13,-1,-1,NaN,NaN,27,-9,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-13,NaN,-8,NaN,-3,NaN,0,NaN,NaN,0,-13,NaN,NaN,0,55,-1,-20,0,18,0,NaN,NaN,5,-1,NaN,NaN,NaN,0,0,-103,103,-316,316,-220,25,7,0,-47,-6,19,10,-7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,NaN,0,NaN,NaN,NaN,NaN,NaN,-1,0,NaN,13,-9,1,NaN,1,-2,NaN,4,-13,NaN,0,NaN,NaN,NaN,0,-8,NaN,NaN,3,0,NaN,0,-2,NaN,NaN,NaN,NaN,0,107,-2,NaN,NaN,NaN,-1,0,-1,NaN,-1,4,NaN,NaN,0,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-3,-30,NaN,NaN,NaN,NaN,-1,-53,-1,NaN,-2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-26,-3,NaN,21,5,NaN,-6,4,-4,-28,NaN,-66,NaN,9,0,NaN,2,0,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,4,NaN,NaN,0,NaN,NaN,NaN,-1,3,0,NaN,NaN,-1,0,NaN,0,NaN,0,NaN,-10,NaN,-1,0,NaN,1,NaN,-2,NaN,0,-1,NaN,0,NaN,0,-1,-4,0,11,-3,1,0,-19,NaN,NaN,7,83,0,NaN,NaN,NaN,NaN,5,0,NaN,NaN,NaN,-14,-2,-1,NaN,NaN,30,-7,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-19,NaN,-4,NaN,-1,NaN,0,NaN,NaN,0,-5,NaN,NaN,0,29,-3,-23,0,21,0,NaN,NaN,6,-1,NaN,NaN,NaN,0,0,-120,120,-262,262,-178,32,23,-3,-82,4,22,11,-6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,NaN,0,NaN,NaN,NaN,NaN,NaN,-2,0,NaN,13,-7,1,NaN,1,-2,NaN,4,-15,NaN,0,NaN,NaN,NaN,0,-9,NaN,NaN,3,0,NaN,0,-7,NaN,NaN,NaN,NaN,0,120,-2,NaN,NaN,NaN,-1,0,-1,NaN,-1,5,NaN,NaN,-1,NaN,NaN,NaN,0,0,0,NaN,NaN,0,0,NaN,NaN,NaN,NaN,-3,-30,NaN,NaN,NaN,NaN,-1,-47,-1,NaN,-2,NaN,NaN,NaN,-1,0,NaN,NaN,NaN,0,-29,-3,NaN,21,8,NaN,-5,1,-4,-27,NaN,-60,NaN,9,0,NaN,2,0,0,-1,NaN,NaN,NaN,NaN,-2,0,NaN,NaN,0,0,2,NaN,NaN,0,NaN,NaN,NaN,-1,-1,1,NaN,NaN,-1,0,NaN,0,NaN,0,NaN,-11,NaN,-1,0,NaN,0,NaN,-2,NaN,0,-1,NaN,0,NaN,0,-1,-4,0,10,-3,2,0,-14,NaN,NaN,7,82,0,NaN,NaN,NaN,NaN,3,0,NaN,NaN,NaN,-13,-2,-1,NaN,NaN,32,-5,-1,NaN,NaN,NaN,NaN,NaN,NaN,-7,-15,NaN,-4,NaN,4,NaN,0,NaN,NaN,0,-4,NaN,NaN,0,21,-4,-28,0,16,-1,NaN,NaN,4,0,NaN,NaN,NaN,-1,0,-128,128,-259,259,-176,32,48,-2,-87,1,8,11,-11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
